buckets,weights
0.0,13172
30.0,142294
60.0,2370
90.0,1490
120.0,4449
150.0,1056
180.0,5425
210.0,1452
240.0,10189
270.0,3981
300.0,9024
330.0,149
360.0,78
390.0,18
420.0,1
450.0,3
480.0,2
510.0,392
540.0,220
570.0,491
600.0,684
630.0,3008
660.0,17
690.0,13
720.0,9
750.0,4
780.0,2
810.0,0
840.0,2
870.0,0
900.0,0
930.0,0
960.0,0
990.0,1
1020.0,0
1050.0,0
1080.0,0
1110.0,0
1140.0,0
1170.0,0
1200.0,0
1230.0,1
1260.0,0
1290.0,0
1320.0,0
1350.0,0
1380.0,0
1410.0,0
1440.0,0
1470.0,0
