buckets,weights
0.0,15649
8.0,151048
16.0,3928
24.0,5281
32.0,3336
40.0,5356
48.0,371
56.0,125
64.0,117
72.0,340
80.0,5913
88.0,3099
96.0,226
104.0,140
112.0,120
120.0,93
128.0,67
136.0,29
144.0,18
152.0,9
160.0,4
168.0,2
176.0,0
184.0,0
192.0,0
200.0,0
208.0,1
216.0,0
224.0,4507
232.0,138
240.0,44
248.0,17
256.0,9
264.0,2
272.0,3
280.0,2
288.0,1
296.0,1
304.0,1
312.0,0
320.0,1
328.0,0
336.0,0
344.0,0
352.0,0
360.0,0
368.0,0
376.0,0
384.0,0
392.0,0
